sentence,label,label_idx
"I wear a mask and stay home,  why should I get a vaccine",Are regular safety measures enough to stay healthy?,20
I do not know which vaccine is more recommended for a child,Are some vaccines safer for younger children than others?,127
How many vaccinations are given to children?,Are some vaccines safer for younger children than others?,127
Could my children die from a poorly administered vaccine?,Are some vaccines safer for younger children than others?,127
are there vaccines that are safer for younger children,Are some vaccines safer for younger children than others?,127
Can some vaccines be safer than others for younger children?,Are some vaccines safer for younger children than others?,127
Are some vaccines dangerous for older children than others?,Are some vaccines safer for younger children than others?,127
Are some vaccines safer for younger children than others?,Are some vaccines safer for younger children than others?,127
What side effects can the covid vaccine bring for children?,Are some vaccines safer for younger children than others?,127
is there a specific vaccine that is safer for younger children?,Are some vaccines safer for younger children than others?,127
can some children be safer than others?,Are some vaccines safer for younger children than others?,127
Are children differ in safety for children?,Are some vaccines safer for younger children than others?,127
What vaccine against covid 19 should I give my baby that is safer?,Are some vaccines safer for younger children than others?,127
which vaccine is best suited to children?,Are some vaccines safer for younger children than others?,127
"Of so many laboratories, which would be the most recommended to apply to children?",Are some vaccines safer for younger children than others?,127
"The news states that people are reporting feeling awful after the second injection,  are the side effects worse",Are the side effects worse for the second shot,34
"I had side effects after the first shot, will it be worse after the second?",Are the side effects worse for the second shot,34
If I have side effects after the first vaccine will the effects be worse after the second?,Are the side effects worse for the second shot,34
"The second vaccine shot seems to cause more reactions than the first, should I stay schedule off from work to be prepared?",Are the side effects worse for the second shot,34
If I have side effects from the first dose of vaccine will they be worse when I get the second dose?,Are the side effects worse for the second shot,34
Is it true that the second shot of the virus causes worse side effects than the first?,Are the side effects worse for the second shot,34
Are the side effects worse for the second shot,Are the side effects worse for the second shot,34
"Which side effects are worse, the ones for the first vaccine shot or the ones for the second?",Are the side effects worse for the second shot,34
what are the side effects like after the second dose of the vaccine,Are the side effects worse for the second shot,34
how does the second shot affect people?,Are the side effects worse for the second shot,34
"I need to work and and afraid of getting sick off the second shot, can I post phone it for months until I have a day off?",Are the side effects worse for the second shot,34
Are the side effects worse for the second shot of the vaccine or the same as the first?,Are the side effects worse for the second shot,34
Will I have worse side effects with the second shot?,Are the side effects worse for the second shot,34
are the second shot side effects worse than the first,Are the side effects worse for the second shot,34
Am I going to get even sicker when I get my second jab than the first?,Are the side effects worse for the second shot,34
"If the first dose causes side effects, in the second dose do they get worse?",Are the side effects worse for the second shot,34
Does the second shot cause even worse side effects?,Are the side effects worse for the second shot,34
"Which shot causes the worst side effects, the first or the second?",Are the side effects worse for the second shot,34
Are the side effects the same for both shots of the vaccine?,Are the side effects worse for the second shot,34
is the second shot worse than the first?,Are the side effects worse for the second shot,34
"I have heard that the side effects to the second vaccine short are worse, is that right?",Are the side effects worse for the second shot,34
"With the second short, are the side effects worse?",Are the side effects worse for the second shot,34
What side effects are associated with the second vaccine shot?,Are the side effects worse for the second shot,34
Are there medical contraindications to the vaccines?,Are there medical contraindications to the vaccines?,117
are there contradictions present in the vaccine?,Are there medical contraindications to the vaccines?,117
The only contraindication applicable to all vaccines is a history of a severe allergic reaction after a prior dose of vaccine or to a vaccine constituent.,Are there medical contraindications to the vaccines?,117
can any other medicine together with the vaccine alter its effect?,Are there medical contraindications to the vaccines?,117
currently have the vaccines presented any contraindications?,Are there medical contraindications to the vaccines?,117
How are the contradictions of the vaccine handled?,Are there medical contraindications to the vaccines?,117
Are there any medical contraindications to receive the vaccine?,Are there medical contraindications to the vaccines?,117
Vaccines are very beneficial for the body and must be given to everyone to avoid diseases. we just have to weigh the benefits against the alleged contraindications,Are there medical contraindications to the vaccines?,117
are there contradictions for the vaccine?,Are there medical contraindications to the vaccines?,117
"If one does not follow the indications with the contraindications, can he die?",Are there medical contraindications to the vaccines?,117
can medicines contradict with the vaccine,Are there medical contraindications to the vaccines?,117
are there any medications i should avoid taking if i have covid?,Are there medical contraindications to the vaccines?,117
is it safe for people who has medical conditions?,Are there medical contraindications to the vaccines?,117
Are there no medical contradictions for vaccines?,Are there medical contraindications to the vaccines?,117
what would be the contraindications of getting the covid vaccine,Are there medical contraindications to the vaccines?,117
can women be affected badly by the vaccine than men?,Are women more likely to get worse side effects than men?,129
sex does not indicate if the vaccine will affect one more than the other,Are women more likely to get worse side effects than men?,129
Are the side effects harmful to women more than men?,Are women more likely to get worse side effects than men?,129
Are the side effects more dangerous for women than men?,Are women more likely to get worse side effects than men?,129
"who is more likely to have worse side effects, men or women?",Are women more likely to get worse side effects than men?,129
Are women more affected by the side effects of the vaccines?,Are women more likely to get worse side effects than men?,129
Is it true that the possible side effects are stronger in women? or are they the same for both sexes?,Are women more likely to get worse side effects than men?,129
Are women more likely to get worse side effects than men?,Are women more likely to get worse side effects than men?,129
Are women more vulnerable to the worst side effects more then men?,Are women more likely to get worse side effects than men?,129
Are the symptoms stronger in the female sex?,Are women more likely to get worse side effects than men?,129
So far I have not heard of side effects or that it is more likely to cause harm in women,Are women more likely to get worse side effects than men?,129
Would women suffer fewer systomas than men?,Are women more likely to get worse side effects than men?,129
What side effects would men suffer,Are women more likely to get worse side effects than men?,129
I think that affects men or women equally,Are women more likely to get worse side effects than men?,129
women generally are reporting worse side effects from vaccination,Are women more likely to get worse side effects than men?,129
can i die faster because i am a woman?,Are women more likely to get worse side effects than men?,129
because it would be said that women will have problems with the vaccine,Are women more likely to get worse side effects than men?,129
As a woman I am afraid to get vaccinated since I will be so sure of not contracting side effects,Are women more likely to get worse side effects than men?,129
How do we know what is in the vaccine the effects could be far worse than the disease?,COVID vaccines can be worse than the disease itself,18
Will the vaccine make me sicker than getting Covid on my own?,COVID vaccines can be worse than the disease itself,18
"I very much doubt that the vaccine is worse than the virus, since this is about medicine, the cure to avoid getting more of the virus",COVID vaccines can be worse than the disease itself,18
Perhaps side effects may be greater than the benefits,COVID vaccines can be worse than the disease itself,18
Can the vaccine be worse than COVID-19?,COVID vaccines can be worse than the disease itself,18
the situation could worsen and be worse than even the covid,COVID vaccines can be worse than the disease itself,18
I think taking the vaccine may be more dangerous than  the disease it self .,COVID vaccines can be worse than the disease itself,18
are covi-19 vaccines worse than the disease itself?,COVID vaccines can be worse than the disease itself,18
whether the side effects may be more dangerous than the disease itself,COVID vaccines can be worse than the disease itself,18
what could be worse than the disease itself? i just wanna be safe,COVID vaccines can be worse than the disease itself,18
side effects can affect more than the covid itself,COVID vaccines can be worse than the disease itself,18
the vaccine cold be kill me,COVID vaccines can be worse than the disease itself,18
The side effects could be worse than the covid,COVID vaccines can be worse than the disease itself,18
It will be worse than the disease itself,COVID vaccines can be worse than the disease itself,18
"If the vaccine is not done well, the virus could be even worse",COVID vaccines can be worse than the disease itself,18
COVID vaccines can be worse than the disease itself,COVID vaccines can be worse than the disease itself,18
That vaccine could be worse than the virus itself I hope not please!,COVID vaccines can be worse than the disease itself,18
Are COVID-19 vaccines worse than the disease itself?,COVID vaccines can be worse than the disease itself,18
this vaccine could be worse than COVID,COVID vaccines can be worse than the disease itself,18
this vaccine could result in disaster,COVID vaccines can be worse than the disease itself,18
I'm young fit and healthy so it seems to me that the side effects of the vaccine are likely to be worse than the disease itself.,COVID vaccines can be worse than the disease itself,18
the remedy could be worse than the disease itself,COVID vaccines can be worse than the disease itself,18
the remedy could be worse than the disease,COVID vaccines can be worse than the disease itself,18
It might have worst side effects than the disease itself?,COVID vaccines can be worse than the disease itself,18
Is it possible that the side effects of the vaccine for COVID-19 can be worse than the disease itself?,COVID vaccines can be worse than the disease itself,18
The vaccine could unleash a wave of new insecurities.,COVID vaccines can be worse than the disease itself,18
it couldn't be worse than the disease itself,COVID vaccines can be worse than the disease itself,18
The vaccine could have worse side effects than any symptoms you could have with Covid.,COVID vaccines can be worse than the disease itself,18
im concern that the vaccine will be more harmful than good,COVID vaccines can be worse than the disease itself,18
I am concerned that we will not find an early solution to this disease.,COVID vaccines can be worse than the disease itself,18
Maybe in the future we find that the vaccine is worse than the disease,COVID vaccines can be worse than the disease itself,18
it could be worse than the disease itself,COVID vaccines can be worse than the disease itself,18
The vaccine can kill people.,COVID vaccines can be worse than the disease itself,18
could be worse than covid,COVID vaccines can be worse than the disease itself,18
You may have another virus that makes other illnesses worse,COVID vaccines can be worse than the disease itself,18
the cure could be worse the same disease,COVID vaccines can be worse than the disease itself,18
the medicine could be worse than the disease,COVID vaccines can be worse than the disease itself,18
who knows ? maybe the virus is less dangerous than this vaccine,COVID vaccines can be worse than the disease itself,18
Can I get sick and die or become and invalid from a reaction to the Covid vaccine?,COVID vaccines can be worse than the disease itself,18
There are not enough studies indicating long-term side effects of the vaccine.,COVID vaccines can be worse than the disease itself,18
could be worse than covid itself,COVID vaccines can be worse than the disease itself,18
COVID-19 is not as dangerous,COVID-19 is not as dangerous as they say,0
why did the covid spread so fast,COVID-19 is not as dangerous as they say,0
"the only people that are getting very sick are old or unhealthy,   I am a healthy adult, why should I be afraid",COVID-19 is not as dangerous as they say,0
I think that this pandemic has been overexploited from the communicational field.,COVID-19 is not as dangerous as they say,0
how bad is it?,COVID-19 is not as dangerous as they say,0
I think they exaggerate too much of it,COVID-19 is not as dangerous as they say,0
covid-19 is dangerous?,COVID-19 is not as dangerous as they say,0
I think they are over rating Covid-19.,COVID-19 is not as dangerous as they say,0
I don't believe Covid is as dangerous as they are making it out to be,COVID-19 is not as dangerous as they say,0
This has been blown out of proportion.,COVID-19 is not as dangerous as they say,0
The coronavirus is not as serious as they make it seem,COVID-19 is not as dangerous as they say,0
I don't believe that Covid-19 is really that bad.,COVID-19 is not as dangerous as they say,0
Covid is no worse than the flu.,COVID-19 is not as dangerous as they say,0
"In past times there have been pandemics stronger than Covid-19, which is not something new for humanity.",COVID-19 is not as dangerous as they say,0
I think people get sick for all kinds of reasons and Covid is no worse than other viruses it just has not been treated properly.,COVID-19 is not as dangerous as they say,0
I AM NOT STILL SICK FROM COVID-19,COVID-19 is not as dangerous as they say,0
is dangerous the covid,COVID-19 is not as dangerous as they say,0
Im not sure covid is as bad as they say,COVID-19 is not as dangerous as they say,0
covid is a disease that affects older people most of all,COVID-19 is not as dangerous as they say,0
a few of the people suffering from COVID-19 will die but the majority gonna be ok,COVID-19 is not as dangerous as they say,0
the covid is not as bad as it seems,COVID-19 is not as dangerous as they say,0
COVID-19 dangerous as they say?,COVID-19 is not as dangerous as they say,0
is COVID-19 dangerous  to me?,COVID-19 is not as dangerous as they say,0
I think  countries and the global  media are creating  a fear bubble about  the covid-19 .,COVID-19 is not as dangerous as they say,0
is the vaccine harmful or risky?,COVID-19 is not as dangerous as they say,0
This is not as serious as they say.,COVID-19 is not as dangerous as they say,0
The mortality of the Chinese virus is not as serious as we have been led to believe.,COVID-19 is not as dangerous as they say,0
COVID-19 is not harmful at all.,COVID-19 is not as dangerous as they say,0
Is covid as bad as they say,COVID-19 is not as dangerous as they say,0
Is COVID-19 really as dangerous as they say?,COVID-19 is not as dangerous as they say,0
"Not everyone who has COVID ends up in the hospital and on ventilators, those are only extreme cases that are few and far between.",COVID-19 is not as dangerous as they say,0
"COVID is just like getting the flu, it can't be that much worse.",COVID-19 is not as dangerous as they say,0
Covid-19 is not as lethal as they want to make us believe,COVID-19 is not as dangerous as they say,0
COVID-19 is not as dangerous as they think,COVID-19 is not as dangerous as they say,0
is covid 19 dangerous?,COVID-19 is not as dangerous as they say,0
COVID-19  is not as risky as people think it is.,COVID-19 is not as dangerous as they say,0
Some people who have COVID don't even have any symptoms.,COVID-19 is not as dangerous as they say,0
"Covid affects more people with respiratory problems and the elderly, but you still have to be careful",COVID-19 is not as dangerous as they say,0
is COVID-19 dangerous ?,COVID-19 is not as dangerous as they say,0
If the covid 19 is not so dangerous because they return to quarantine and we should see beyond towns and countries we should see that it really exists and that we are in danger,COVID-19 is not as dangerous as they say,0
"COVID-19 is not as dangerous as it is painted, it is like another flu",COVID-19 is not as dangerous as they say,0
is COVID-19 deadly to us?,COVID-19 is not as dangerous as they say,0
"covid-19 is any flu, with low lethality",COVID-19 is not as dangerous as they say,0
is covid-19 really as threatening as doctors  say it is?,COVID-19 is not as dangerous as they say,0
covid is dangerous,COVID-19 is not as dangerous as they say,0
Why should I obtain the vaccine now that COVID-19 is over?,"COVID-19 is over, why should I get the vaccine?",137
Is there any reason to get the vaccine after COVID-19 is over?,"COVID-19 is over, why should I get the vaccine?",137
Why should I obtain the vaccine now that COVID-19 has passed?,"COVID-19 is over, why should I get the vaccine?",137
"Is the COVID-19 is over, what is the reason to get the vaccine?","COVID-19 is over, why should I get the vaccine?",137
"If there is no more covid 19, what are the reasons to get the vaccine?","COVID-19 is over, why should I get the vaccine?",137
I need to get the vaccine even if the pandemic is over?,"COVID-19 is over, why should I get the vaccine?",137
Why get vaccinated if the covid is over?,"COVID-19 is over, why should I get the vaccine?",137
"COVID-19 is not a danger, so I won't take the vaccine.","COVID-19 is over, why should I get the vaccine?",137
Why should I be vaccinated now that COVID-19 is over?,"COVID-19 is over, why should I get the vaccine?",137
I won't take the vaccine because the pandemic is over.,"COVID-19 is over, why should I get the vaccine?",137
why should I get the vaccine if there is no more covid 19?,"COVID-19 is over, why should I get the vaccine?",137
"COVID-19 is over, why should I get the vaccine?","COVID-19 is over, why should I get the vaccine?",137
what reasons are there to get the vaccine if covid is no more,"COVID-19 is over, why should I get the vaccine?",137
"If the covid is over, why do they still want us to get vaccinated?","COVID-19 is over, why should I get the vaccine?",137
There is no credible information available that says the Covid-19 vaccine damages the brain.,COVID-19 vaccines cause brain inflammation,43
The vaccine will that my brain will become inflamed.,COVID-19 vaccines cause brain inflammation,43
is it true the vaccine gives you an inflamed brain,COVID-19 vaccines cause brain inflammation,43
COVID-19 vaccines cause brain inflammation,COVID-19 vaccines cause brain inflammation,43
The vaccine will cause my brain to swell up.,COVID-19 vaccines cause brain inflammation,43
I am concerned by the lack of evidence between the vaccine and inflammation in the brain,COVID-19 vaccines cause brain inflammation,43
Can a person get brain inflammation from the vaccine?,COVID-19 vaccines cause brain inflammation,43
The vaccine will mean that my brain will  swell and become inflamed.,COVID-19 vaccines cause brain inflammation,43
It is possible to get brain inflammation from the vaccine.,COVID-19 vaccines cause brain inflammation,43
I'm worried that the vaccine could have some terrible effect on people's brains.,COVID-19 vaccines cause brain inflammation,43
Is there a link between the COVID vaccine and brain inflammation?,COVID-19 vaccines cause brain inflammation,43
I've heard that the Covid vaccine causes brain inflammation so I'm reluctant to take it now,COVID-19 vaccines cause brain inflammation,43
Is one of the serious side effects of the Covid-19 inflammation of the brain.,COVID-19 vaccines cause brain inflammation,43
"I am worried that the vaccine will cause brain fog, how can I be sure to stay safe?",COVID-19 vaccines cause brain inflammation,43
"How will the vaccine effect my brain, I dont want to have memory issues?",COVID-19 vaccines cause brain inflammation,43
If I get a bad side effect will the vaccine attack my brain?,COVID-19 vaccines cause brain inflammation,43
Is there a link to the Covid vaccine causing brain inflammation?,COVID-19 vaccines cause brain inflammation,43
Does the covid jab cause brain inflammation?,COVID-19 vaccines cause brain inflammation,43
"I'm experiencing bad headaches and pressure after my second vaccine, are those signs of brain inflammation?",COVID-19 vaccines cause brain inflammation,43
"If the Covid-19 vaccine caused brain inflammation you wouldn't have to trawl through obscure websites to find the information, it would be on legitimate news websites.",COVID-19 vaccines cause brain inflammation,43
Will the Covid jab cause my brain to swell?,COVID-19 vaccines cause brain inflammation,43
I was in a hospital for five days with a swelling of my brain after 2 doses of a prescription  Can this happen after a COVID shot,COVID-19 vaccines cause brain inflammation,43
Can the vaccine make me sick?,Can I get COVID-19 from the vaccine?,88
"Is a mild form of Covid given to when you have the vaccine, and what is to stop you catching it?",Can I get COVID-19 from the vaccine?,88
Is it possible for me to contract COVID-19 from the vaccine?,Can I get COVID-19 from the vaccine?,88
Can the COVID-19 vaccine give me COVID-19?,Can I get COVID-19 from the vaccine?,88
Does the vaccine actually give me Covid?,Can I get COVID-19 from the vaccine?,88
"I get the vaccine, can I get COVID-19 from it?",Can I get COVID-19 from the vaccine?,88
what if the vaccine gives you covid,Can I get COVID-19 from the vaccine?,88
Will the vaccine make me sick the same as if I had Covid?,Can I get COVID-19 from the vaccine?,88
Can the vaccine cause me to get COVID-19?,Can I get COVID-19 from the vaccine?,88
Is it possible to get COVID-19 from the vaccine?,Can I get COVID-19 from the vaccine?,88
Can I get COVID-19 from the vaccine?,Can I get COVID-19 from the vaccine?,88
What are the chances of contracting COVID through the vaccine?,Can I get COVID-19 from the vaccine?,88
Are there any cases of people getting COVID due to the vaccine?,Can I get COVID-19 from the vaccine?,88
I wonder if it's possible that the Covid-19 vaccine can actually give you Coronavirus?,Can I get COVID-19 from the vaccine?,88
does this vaccine have live antibodies?,Can I get COVID-19 from the vaccine?,88
"Since there are live viruses in vaccines, can I catch COVID?",Can I get COVID-19 from the vaccine?,88
"I've heard that in the past people caught polio from the polio vaccine, is there any chance that I could catch covid from the coronavirus vaccine?",Can I get COVID-19 from the vaccine?,88
Does COVID-19 vaccine ever cause a person to get the virus?,Can I get COVID-19 from the vaccine?,88
Does the covid vaccine give me covid?,Can I get COVID-19 from the vaccine?,88
How does the vaccine work? Does it give me Covid?,Can I get COVID-19 from the vaccine?,88
Is it possible to get COVID through the vaccine?,Can I get COVID-19 from the vaccine?,88
I am concerned that I could be infected with Covid-19 2 times and that the second time will be fatal.,Can I get COVID-19 twice?,126
What is the possibility of getting sick from Covid-19 for the second time?,Can I get COVID-19 twice?,126
"I saw in networks that going through the covid does not give you immunity against it, is that right?",Can I get COVID-19 twice?,126
"I thought having covid made you immune to the virus, so how is it possible to get covid more than once?",Can I get COVID-19 twice?,126
Is it possible that I can get sick from COVID-19 a second time?,Can I get COVID-19 twice?,126
How many times can I get COVID-19?,Can I get COVID-19 twice?,126
Can I get COVID-19 twice?,Can I get COVID-19 twice?,126
Do I have to wear the mask all day after vaccination?,Can I get COVID-19 twice?,126
Is it possible that the Covid repeat?,Can I get COVID-19 twice?,126
can I get COVID again ?,Can I get COVID-19 twice?,126
Is the virus as lethal if it attacks me a second time?,Can I get COVID-19 twice?,126
What is the role of T cells in COVID-19 infection?,Can I get COVID-19 twice?,126
Is it possible to suffer from Covid-19 two times?,Can I get COVID-19 twice?,126
Does the covid occur only once in a lifetime?,Can I get COVID-19 twice?,126
Can the virus kill me if I get it a second time?,Can I get COVID-19 twice?,126
"I am very scared, I heard that I can get the virus more than once",Can I get COVID-19 twice?,126
is the vaccine effective?,Can I get COVID-19 twice?,126
can we get the virus multiple times?,Can I get COVID-19 twice?,126
it is possible to contract the virus again after having contracted it once already,Can I get COVID-19 twice?,126
Can I have COVID-19 twice?,Can I get COVID-19 twice?,126
Can I get COVID-19 more than once?,Can I get COVID-19 twice?,126
can I feel the symptoms again?,Can I get COVID-19 twice?,126
Is it possible to get COVID-19 twice?,Can I get COVID-19 twice?,126
"I have already been sick with COVID-19, can I get sick 2 times from this disease?",Can I get COVID-19 twice?,126
"If I am vaccinated and I am exposed to the virus again, should I take a second dose?",Can I get a second dose even after a COVID exposure?,35
"I got the first dose, is it dangerous to get the second dose even after a COVID exposure?",Can I get a second dose even after a COVID exposure?,35
Should I wait 14 days after being exposed to COVID to get my second dose?,Can I get a second dose even after a COVID exposure?,35
Should I get the second dose if I was exposed?,Can I get a second dose even after a COVID exposure?,35
If I've already had covid do I still need to get two doses of the vaccine?,Can I get a second dose even after a COVID exposure?,35
Is it possible to get the second dose if i have been  exposed to covid,Can I get a second dose even after a COVID exposure?,35
Can I still have a second does of the vaccine if I have already been exposed to covid?,Can I get a second dose even after a COVID exposure?,35
If I have had Covid since the first dose can I still have the second?,Can I get a second dose even after a COVID exposure?,35
if ive been exposed to covid can i still get a second dose of it,Can I get a second dose even after a COVID exposure?,35
If you are exposed to Covid you have to self isolate so the second dose would have to wait until your quarantine is over.,Can I get a second dose even after a COVID exposure?,35
Can I get a second dose even after a COVID exposure?,Can I get a second dose even after a COVID exposure?,35
Should I get a second dose if I was exposed to COVID?,Can I get a second dose even after a COVID exposure?,35
"I've heard that if you have already had covid you only need to get one dose of vaccine, is that right?",Can I get a second dose even after a COVID exposure?,35
How many doses are necessary to be fully immunized?,Can I get a second dose even after a COVID exposure?,35
"I may have been exposed to COVID, who should I contact to see whether it's safe to get my second shot or not?",Can I get a second dose even after a COVID exposure?,35
"I've heard that some countries recommend that only one dose of vaccine should be given if you have already had covid, why is that?",Can I get a second dose even after a COVID exposure?,35
I don't need a second covid shot because I was exposed to the real virus.,Can I get a second dose even after a COVID exposure?,35
"I got Covid between the first and second shot, should I wat and start all over?",Can I get a second dose even after a COVID exposure?,35
I am immune to Covid I had it after receiving the second dose therefore I will be safe as you cant catch it again,Can I get a second dose even after a COVID exposure?,35
What happens if someone in my family gets Covid before I have my second dose of the vaccine.,Can I get a second dose even after a COVID exposure?,35
What is the risk of taking a second dose of the covid jab if you've been exposed to the actual virus?,Can I get a second dose even after a COVID exposure?,35
Is there a problem with me having the second vaccine dose after covid exposure?,Can I get a second dose even after a COVID exposure?,35
I have had Covid after the first dose so dont need the second one now,Can I get a second dose even after a COVID exposure?,35
Is there any problem with getting a second vaccine shot if I have been exposed to the virus,Can I get a second dose even after a COVID exposure?,35
Will the COVID vaccine have any kind of reaction with a different vaccine?,Can I get other vaccines at the same time?,36
Can I get the shingles vaccine at the same time?,Can I get other vaccines at the same time?,36
How much research as taken place to see if we can have all our inoculations at the same time.,Can I get other vaccines at the same time?,36
Is it possible to get more than one injection at the same time,Can I get other vaccines at the same time?,36
Is it safe to receive other vaccines at the same time as my COVID vaccine?,Can I get other vaccines at the same time?,36
Do I have to wait to get other vaccines of I get the Covid one?,Can I get other vaccines at the same time?,36
"I've heard that some of the vaccines work in different ways to others, so would I be better protected if I took more than one type of vaccine at the same time?",Can I get other vaccines at the same time?,36
"My tetanus shot needs to be updated, how long after my Covid vaccine do I have to wait to get that done?",Can I get other vaccines at the same time?,36
Can I have my Vit B jab at the same time as the Covid vaccine?,Can I get other vaccines at the same time?,36
Will the vaccine have any affects on other vaccines I get at the same time?,Can I get other vaccines at the same time?,36
can you get all the vaccinations you need at the same time,Can I get other vaccines at the same time?,36
Will the Covid vaccine affect my flu jab or can I have them both at the same time?,Can I get other vaccines at the same time?,36
"Is it possible to get other inoculations at the same time as the Covid jab, it would save time if medics could do it all at once.",Can I get other vaccines at the same time?,36
"I've just had the flu vaccine, is it safe to get the covid vaccine now or should I wait a while?",Can I get other vaccines at the same time?,36
Can I get 2 different vaccines at the same time?,Can I get other vaccines at the same time?,36
Can I get the flu vaccine at the same time as the COVID vaccine?,Can I get other vaccines at the same time?,36
Can I get other vaccines at the same time?,Can I get other vaccines at the same time?,36
Can I get different vaccines in the one go,Can I get other vaccines at the same time?,36
I just had a flu shot.  Should I wait before having the COVID vaccine,Can I get other vaccines at the same time?,36
What if I need more than one vaccine?,Can I get other vaccines at the same time?,36
Am I able to get my other vaccines when I get the COVID vaccine?,Can I get other vaccines at the same time?,36
Is it ok to get multiple vaccines at same time?,Can I get other vaccines at the same time?,36
Is it save to get other vaccines while I get the COVID vaccine?,Can I get other vaccines at the same time?,36
I may have a complication with the lymph nodes,Can I get swollen lymph nodes from the vaccine?,135
"inflammation of the lymph nodes is an effect of the vaccine
?",Can I get swollen lymph nodes from the vaccine?,135
would I have swollen lymph nodes from the vaccine?,Can I get swollen lymph nodes from the vaccine?,135
Is there a relationship between swollen lymph nodes and the vaccine?,Can I get swollen lymph nodes from the vaccine?,135
